KGISWardID,KGISWardCo,LGD_WardCo,KGISWardNo,Ward Name,KGISTownCo,xcoord,ycoord
5018,2003071,1302743,71,Chamundi Nagara,2003,77.59615027,13.02527051
6939,2003239,,239,Hulimavu,2003,77.60199913,12.87612208
5214,2003169,1302841,169,Devaraj Urs Nagar,2003,77.54862682,12.96076323
6940,2003241,,241,Puttenahalli - Sarakki Lake,2003,77.58318481,12.89893296
5234,2003179,1302851,179,Jogupalya,2003,77.63109139,12.97302653
5231,2003178,1302850,178,Domlur,2003,77.63632409,12.96365077
6941,2003222,,222,RBI layout,2003,77.58006109,12.88925624
5198,2003161,1302833,161,Attiguppe,2003,77.53006279,12.95971303
5195,2003160,1302832,160,Bapuji Nagar,2003,77.54323762,12.95913879
4954,2003039,1302711,39,Kanneshwara Rama,2003,77.54879922,13.04699059
5211,2003168,1302840,168,Padarayanapura,2003,77.55285306,12.96253763
6942,2003220,,220,Yelachenahalli,2003,77.56811343,12.902369
4951,2003038,1302710,38,J P Park,2003,77.55098756,13.03569118
5207,2003166,1302838,166,Chalavadipalya,2003,77.56696779,12.96385439
6943,2003236,,236,Devarachikkanahalli,2003,77.62231865,12.89197573
5190,2003157,1302829,157,Vijayanagar,2003,77.54829797,12.97240686
6944,2003231,,231,Mangammanapalya,2003,77.63920211,12.90099388
6945,2003221,,221,Konanakunte,2003,77.56167868,12.881361
6946,2003238,,238,Arakere,2003,77.606119,12.88640536
6947,2003242,,242,Jaraganahalli,2003,77.57496006,12.90021557
6948,2003223,,223,Chunchaghatta,2003,77.58116868,12.877493
6949,2003230,,230,Agara,2003,77.64429963,12.91346689
6950,2003205,,205,Vikram Nagar,2003,77.55699306,12.90341786
6951,2003225,,225,Gottigere,2003,77.58476041,12.85463246
6952,2003201,,201,Umamaheshwara Ward,2003,77.57393884,12.9249579
6953,2003204,,204,Kumaraswamy Layout,2003,77.56441507,12.91076505
5187,2003156,1302828,156,Kempapura Agrahara,2003,77.55560534,12.97242636
5250,2003187,1302859,187,Adugodi,2003,77.61668899,12.93574697
5071,2003098,1302770,98,Kacharkanahalli,2003,77.62838076,13.01862671
5246,2003185,1302857,185,Ejipura,2003,77.62814984,12.94224486
5074,2003099,1302771,99,HRBR Layout,2003,77.63750249,13.01955201
5023,2003074,1302746,74,Kaval Bairasandra,2003,77.60444021,13.0215843
5227,2003176,1302848,176,Someshwara Nagar,2003,77.59607117,12.93631763
5226,2003175,1302847,175,Ashoka Pillar,2003,77.58510677,12.94114479
5251,2003188,1302860,188,Lakkasandra,2003,77.60767731,12.94427542
5230,2003177,1302849,177,Hombegowda Nagara,2003,77.59676804,12.94916775
5223,2003174,1302846,174,Vishveshwara Puram,2003,77.58012301,12.95022869
5075,2003100,1302772,100,Banasavadi,2003,77.65113796,13.01382743
5063,2003094,1302766,94,Hennur,2003,77.62941544,13.0365855
5035,2003080,1302752,80,Pulikeshinagar,2003,77.61057486,12.99669347
4899,2003012,1303150,12,Kodigehalli,2003,77.57426428,13.05587868
4891,2003008,1303146,8,Jakkuru,2003,77.61733036,13.06799643
4890,2003007,1303145,7,Thanisandra,2003,77.63400564,13.06070976
4895,2003010,1303148,10,Kempapura,2003,77.59409235,13.04983766
4894,2003009,1303147,9,Amrutahalli,2003,77.60377434,13.06011872
5082,2003103,1302775,103,Maruthi Seva Nagar,2003,77.63283461,12.99879431
5270,2003197,1302869,197,Shakambari Nagar,2003,77.58135869,12.91749224
5034,2003079,1302751,79,Sagayarapuram,2003,77.61681479,13.00569462
5078,2003101,1302773,101,Kammanahalli,2003,77.63779219,13.00886684
5026,2003075,1302747,75,Kushal Nagar,2003,77.61336265,13.02226944
5079,2003102,1302774,102,Lingarajapura,2003,77.6254886,13.00605442
5070,2003097,1302769,97,Venkateshpura,2003,77.61958698,13.01467575
5030,2003077,1302749,77,Devara Jeevanahalli,2003,77.60655536,13.01375245
5027,2003076,1302748,76,Muneshwara Nagar,2003,77.61240469,13.01486327
5031,2003078,1302750,78,S K Garden,2003,77.60831407,13.00792407
5266,2003195,1302867,195,Tilak Nagar,2003,77.59827093,12.92647641
5263,2003194,1302866,194,Gurappanapalya,2003,77.60450246,12.92039352
5267,2003196,1302868,196,Byrasandra,2003,77.58819862,12.92759653
5258,2003191,1302863,191,Jakkasandra,2003,77.63094905,12.920582
5254,2003189,1302861,189,Suddagunte Palya,2003,77.60637255,12.93199252
5222,2003173,1302845,173,Sunkenahalli,2003,77.56737907,12.9490647
5247,2003186,1302858,186,Koramangala,2003,77.62805866,12.93243345
4887,2003006,1303144,6,Kogilu,2003,77.62698123,13.10274121
5215,2003170,1302842,170,Azad Nagar,2003,77.55402133,12.95473976
5206,2003165,1302837,165,Chamrajapet,2003,77.56742637,12.96026024
5067,2003096,1302768,96,Kadugondanahalli,2003,77.62043726,13.02477349
5095,2003110,1302782,110,Whitefield,2003,77.73173272,12.96627257
4935,2003030,1302702,30,Herohalli,2003,77.49166704,12.9892915
4931,2003028,1302700,28,Dodda Bidarakallu,2003,77.48694425,13.02795469
6954,2003219,,219,Vasanthpura,2003,77.55239867,12.8924628
6955,2003232,,232,HSR - Singasandra,2003,77.6399519,12.89481621
5107,2003116,1302788,116,Doddakanahalli,2003,77.67755071,12.90949668
5194,2003159,1302831,159,Hampi Nagar,2003,77.53950524,12.96193438
5191,2003158,1302830,158,Hosahalli,2003,77.54512032,12.96906422
5203,2003164,1302836,164,Avalahalli,2003,77.54646165,12.94988683
5199,2003162,1302834,162,Gali Anjenaya Temple ward,2003,77.53594895,12.95097095
5202,2003163,1302835,163,Veerabhadranagar,2003,77.53564239,12.94303387
5219,2003172,1302844,172,Dharmaraya Swamy Temple Ward,2003,77.58276364,12.96311808
5218,2003171,1302843,171,Sudham Nagara,2003,77.58536339,12.95719883
5235,2003180,1302852,180,Agaram,2003,77.63983108,12.94259274
5094,2003109,1302781,109,AECS Layout,2003,77.70944994,12.96327891
5091,2003108,1302780,108,Dodda Nekkundi,2003,77.6975423,12.97177694
5083,2003104,1302776,104,Kadugodi,2003,77.76566333,12.9926062
6956,2003235,,235,Bommanahalli,2003,77.62215528,12.90243355
6957,2003234,,234,Hongasandra,2003,77.62738292,12.89769065
6958,2003233,,233,Rupenaagrahara,2003,77.63695003,12.88901235
6959,2003237,,237,Bilekhalli,2003,77.60969421,12.89937577
6960,2003240,,240,Vinayakanagar,2003,77.59484552,12.89840157
6961,2003209,,209,Hosakerehalli,2003,77.5381607,12.92977662
6962,2003207,,207,Kamakya Nagar,2003,77.54996093,12.92112595
6963,2003208,,208,Deen Dayalu Ward,2003,77.54332091,12.92326311
5066,2003095,1302767,95,Nagavara,2003,77.618651,13.03262952
4907,2003016,1303154,16,Kammagondanahalli,2003,77.52846068,13.07731835
5127,2003126,1302798,126,Ramaswamy Palya,2003,77.60166914,13.00196457
5130,2003127,1302799,127,Jayamahal,2003,77.59921217,12.996511
5255,2003190,1302862,190,Madivala,2003,77.61309357,12.92603828
5259,2003192,1302864,192,BTM Layout,2003,77.61507957,12.91590887
5262,2003193,1302865,193,N S Palya,2003,77.60620359,12.9110276
5007,2003066,1302738,66,Radhakrishna Temple Ward,2003,77.57059556,13.03828724
5010,2003067,1302739,67,Sanjaya Nagar,2003,77.58121604,13.03680621
5011,2003068,1302740,68,Vishwanath Nagenahalli,2003,77.60333985,13.03772177
5015,2003070,1302742,70,Hebbala,2003,77.59228639,13.03308402
5019,2003072,1302744,72,Ganga Nagar,2003,77.58918474,13.02313877
5022,2003073,1302745,73,Jayachamarajendra  Nagar,2003,77.59312562,13.01641097
5014,2003069,1302741,69,Manorayanapalya,2003,77.60210853,13.03262029
4906,2003015,1303153,15,Kuvempunagar,2003,77.54280179,13.07167134
4902,2003013,1303151,13,Dodda Bommasandra,2003,77.56064073,13.0562866
4898,2003011,1303149,11,Byatarayanapura,2003,77.57922578,13.07776629
4903,2003014,1303152,14,Vidyaranyapura,2003,77.55829616,13.07417763
4911,2003018,1303156,18,Bagalakunte,2003,77.49877984,13.05680001
5098,2003111,1302783,111,Hagadur,2003,77.76345062,12.97076752
5099,2003112,1302784,112,Varthuru,2003,77.73867849,12.93323487
5102,2003113,1302785,113,Munnekollala,2003,77.7080126,12.93461359
6964,2003199,,199,Sarakki,2003,77.58447201,12.90827006
5271,2003198,1302870,198,J P Nagar,2003,77.59471581,12.91223918
