WardNo,WardName,,xcoord,ycoord,AvgML
162,Gali Anjenaya Temple ward,,77.53594895,12.95097095,232
220,Yelachenahalli,,77.56811343,12.902369,196
241,Puttenahalli - Sarakki Lake,,77.58318481,12.89893296,222
151,Maruthi Mandir ward,,77.52833972,12.96662327,29
65,Rajamahal Guttahalli,,77.57909162,13.00137952,1
203,Banashankari Temple ward,,77.57039631,12.91295591,80
83,Kalkere,,77.67341487,13.03422476,67
58,Vrisabhavathi Nagar,,77.52593845,12.98887306,171
211,Hanumanth Nagar,,77.56137196,12.94434279,45
155,Nayandahalli,,77.52143121,12.94298872,112
138,Chickpete,,77.57728753,12.97048243,133
169,Devaraj Urs Nagar,,77.54862682,12.96076323,109
4,Atturu Layout,,77.5550479,13.09573146,29
18,Bagalakunte,,77.49877984,13.05680001,59
236,Devarachikkanahalli,,77.62231865,12.89197573,33
201,Umamaheshwara Ward,,77.57393884,12.9249579,53
160,Bapuji Nagar,,77.54323762,12.95913879,119
188,Lakkasandra,,77.60767731,12.94427542,79
150,Marenahalli,,77.53086184,12.97247579,79
99,HRBR Layout,,77.63750249,13.01955201,89
114,Marathahalli,,77.69679842,12.94259404,144
67,Sanjaya Nagar,,77.58121604,13.03680621,77
60,Aramane Nagara,,77.57705066,13.01533211,228
87,Medahalli,,77.70320898,13.02392119,108
59,Mattikere,,77.56113478,13.0328964,21
242,Jaraganahalli,,77.57496006,12.90021557,179
184,Vannarapete,,77.61830233,12.95626183,112
85,Vijinapura,,77.67029392,13.00497432,168
145,Kamakshipalya,,77.5342759,12.98698727,207
159,Hampi Nagar,,77.53950524,12.96193438,38
112,Varthuru,,77.73867849,12.93323487,208
187,Adugodi,,77.61668899,12.93574697,114
230,Agara,,77.64429963,12.91346689,87
147,Agrahara Dasarahalli,,77.53990034,12.98152171,42
86,K R Puram,,77.69351136,13.01307131,47
111,Hagadur,,77.76345062,12.97076752,144
130,Bharathi Nagar,,77.61061519,12.98890807,51
28,Dodda Bidarakallu,,77.48694425,13.02795469,242
37,Chanakya,,77.55514152,13.0254633,27
12,Kodigehalli,,77.57426428,13.05587868,131
44,Veera Sindhura Lakshamana,,77.51547594,12.99822389,65
42,Lakshmi Devi Nagar,,77.52542716,13.01471524,103
217,Uttarahalli,,77.54665062,12.90980989,59
140,Prakash Nagar,,77.55824274,12.99312832,90
157,Vijayanagar,,77.54829797,12.97240686,110
115,Bellanduru,,77.67290556,12.9391019,108
170,Azad Nagar,,77.55402133,12.95473976,99
139,Dayananda Nagar,,77.56423451,12.99108433,89
117,C V Raman Nagar,,77.65812271,12.99129303,215
126,Ramaswamy Palya,,77.60166914,13.00196457,106
61,Malleswaram,,77.56162791,13.0144284,173
175,Ashoka Pillar,,77.58510677,12.94114479,62
68,Vishwanath Nagenahalli,,77.60333985,13.03772177,138
93,HAL Airport,,77.67260926,12.95715877,159
146,Dr. Raj Kumar Ward,,77.54728564,12.97864919,165
110,Whitefield,,77.73173272,12.96627257,51
173,Sunkenahalli,,77.56737907,12.9490647,49
22,Chokkasandra,,77.50553633,13.03806739,78
72,Ganga Nagar,,77.58918474,13.02313877,190
69,Manorayanapalya,,77.60210853,13.03262029,108
208,Deen Dayalu Ward,,77.54332091,12.92326311,125
45,Vijayanagara Krishnadevaraya,,77.51526891,12.9851596,130
212,Srinivasa Nagar,,77.55710484,12.94221299,221
78,S K Garden,,77.60831407,13.00792407,166
135,Okalipuram,,77.56386081,12.98281345,23
172,Dharmaraya Swamy Temple Ward,,77.58276364,12.96311808,116
79,Sagayarapuram,,77.61681479,13.00569462,213
32,Ullal,,77.48885856,12.94145867,225
25,Rajeshwari Nagar,,77.51334122,13.01022373,156
97,Venkateshpura,,77.61958698,13.01467575,131
102,Lingarajapura,,77.6254886,13.00605442,185
228,Naganathapura,,77.66356976,12.87327774,105
148,Govindaraja Nagar,,77.5336748,12.97735431,29
183,Neelasandra,,77.60834036,12.95756483,123
43,Ranadheera Kanteerava,,77.52446523,13.00635085,62
95,Nagavara,,77.618651,13.03262952,113
89,Devasandra,,77.69178628,13.00061637,196
137,Cottonpete,,77.56627988,12.97031787,87
96,Kadugondanahalli,,77.62043726,13.02477349,56
231,Mangammanapalya,,77.63920211,12.90099388,203
88,Basavanapura,,77.71565504,13.01332713,1
113,Munnekollala,,77.7080126,12.93461359,90
134,Subhash Nagar,,77.568729,12.98260786,49
20,Mallasandra,,77.51526433,13.0548038,252
75,Kushal Nagar,,77.61336265,13.02226944,54
168,Padarayanapura,,77.55285306,12.96253763,65
156,Kempapura Agrahara,,77.55560534,12.97242636,75
17,Shettihalli,,77.5134929,13.06446412,73
243,Kudlu,,77.65877021,12.88879276,95
166,Chalavadipalya,,77.56696779,12.96385439,110
3,Someshwara Ward,,77.57437395,13.10372374,172
76,Muneshwara Nagar,,77.61240469,13.01486327,215
27,Sunkadakatte,,77.50104786,12.99785455,79
47,Nalvadi Krishnaraja Wadior Park,,77.49546644,12.95734871,185
71,Chamundi Nagara,,77.59615027,13.02527051,106
8,Jakkuru,,77.61733036,13.06799643,196
164,Avalahalli,,77.54646165,12.94988683,65
35,Hemmigepura,,77.51177952,12.88045248,237
81,Horamavu,,77.65149995,13.05352831,74
119,New Bayappanahalli,,77.63109058,12.98913234,115
13,Dodda Bommasandra,,77.56064073,13.0562866,48
224,Anjanapura,,77.56442347,12.85826411,211
104,Kadugodi,,77.76566333,12.9926062,116
77,Devara Jeevanahalli,,77.60655536,13.01375245,59
2,Chowdeswari Ward,,77.57889171,13.12191289,87
30,Herohalli,,77.49166704,12.9892915,75
15,Kuvempunagar,,77.54280179,13.07167134,98
7,Thanisandra,,77.63400564,13.06070976,90
225,Gottigere,,77.58476041,12.85463246,278
